"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"KRMA","Global X Conscious Companies ETF","19.4908","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/krma",
"FINX","Global X FinTech ETF","22.126","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/finx",
"BFIT","Global X Health & Wellness Thematic ETF","16.66","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bfit",
"SNSR","Global X Internet of Things ETF","19.95","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/snsr",
"LNGR","Global X Longevity Thematic ETF","19.61","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lngr",
"MILN","Global X Millennials Thematic ETF","19.45","$4.86M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/miln",
"EFAS","Global X MSCI SuperDividend EAFE ETF","18.2047","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/efas",
"QQQC","Global X NASDAQ China Technology ETF","31.59","$25.27M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qqqc",
"BOTZ","Global X Robotics & Artificial Intelligence ETF","24","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/botz",
"CATH","Global X S&P 500 Catholic Values ETF","33.13","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cath",
"SOCL","Global X Social Media ETF","34.04","$141.27M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/socl",
"ALTY","Global X SuperDividend Alternatives ETF","15.27","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alty",
"SRET","Global X SuperDividend REIT ETF","15.5","$3.1M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sret",
"YLCO","Global X Yieldco Index ETF","12.6669","$3.17M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ylco",
"GSB","GlobalSCAPE, Inc.","3.5","$75.5M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsb",
"GSAT","Globalstar, Inc.","1.28","$1.61B","2006","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gsat",
"GLOB","Globant S.A.","45.12","$1.58B","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/glob",
"GLBS","Globus Maritime Limited","1.19","$33.49M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/glbs",
"GMED","Globus Medical, Inc.","43.17","$4.16B","2012","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gmed",
"GLOW","Glowpoint, Inc.","0.3801","$13.73M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/glow",
"GLUU","Glu Mobile Inc.","3.63","$497.43M","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/gluu",
"GLYC","GlycoMimetics, Inc.","17.08","$586.49M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glyc",
"GMS","GMS Inc.","37.43","$1.54B","2016","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/gms",
"GNC","GNC Holdings, Inc.","3.5","$292.7M","2011","Consumer Non-Durables","Food Chains","http://www.nasdaq.com/symbol/gnc",
"GDDY","GoDaddy Inc.","49.07","$8.18B","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/gddy",
"GOGO","Gogo Inc.","11.36","$985.74M","2013","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gogo",
"GOL","Gol Linhas Aereas Inteligentes S.A.","9.35","$24.49B","2004","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/gol",
"GLNG","Golar LNG Limited","30.94","$3.12B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/glng",
"GMLP","Golar LNG Partners LP","23.13","$1.6B","2011","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gmlp",
"GMLPP","Golar LNG Partners LP","25.95","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gmlpp",
"GFI","Gold Fields Limited","4.42","$3.63B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gfi",
"GORO","Gold Resource Corporation","4.48","$254.87M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/goro",
"GSV","Gold Standard Ventures Corporation","1.8","$420.37M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/gsv",
"GG","Goldcorp Inc.","13.22","$11.46B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gg",
"GDEN","Golden Entertainment, Inc.","32.21","$849.43M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/gden",
"AUMN","Golden Minerals Company","0.4441","$40.86M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aumn",
"GOGL","Golden Ocean Group Limited","8.44","$1.2B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gogl",
"GSS","Golden Star Resources, Ltd","0.8733","$332.36M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gss",
"GV","Goldfield Corporation (The)","5","$127.26M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/gv",
"GSBD","Goldman Sachs BDC, Inc.","22.61","$907.35M","2015","n/a","n/a","http://www.nasdaq.com/symbol/gsbd",
"GS","Goldman Sachs Group, Inc. (The)","255.67","$96.44B","1999","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gs",
"GS^A","Goldman Sachs Group, Inc. (The)","22.25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^a",
"GS^B","Goldman Sachs Group, Inc. (The)","25.84","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^b",
"GS^C","Goldman Sachs Group, Inc. (The)","22.47","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^c",
"GS^D","Goldman Sachs Group, Inc. (The)","22.409","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^d",
"GS^J","Goldman Sachs Group, Inc. (The)","26.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^j",
"GS^K","Goldman Sachs Group, Inc. (The)","28.43","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^k",
"GS^N","Goldman Sachs Group, Inc. (The)","27.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^n",
"GER","Goldman Sachs MLP Energy Renaissance Fund","6.42","$507.97M","1986","n/a","n/a","http://www.nasdaq.com/symbol/ger",
"GMZ","Goldman Sachs MLP Income Opportunities Fund","9.22","$408.85M","2013","n/a","n/a","http://www.nasdaq.com/symbol/gmz",
"GBDC","Golub Capital BDC, Inc.","18.09","$1.08B","2010","n/a","n/a","http://www.nasdaq.com/symbol/gbdc",
"GTIM","Good Times Restaurants Inc.","2.55","$31.79M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/gtim",
"GDP","Goodrich Petroleum Corporation","11.38","$119.93M","2017","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gdp",
"GPRO","GoPro, Inc.","7.44","$1.09B","2014","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gpro",
"GSHT","Gores Holdings II, Inc.","9.95","$497.5M","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gsht",
"GSHTU","Gores Holdings II, Inc.","10.36","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gshtu",
"GSHTW","Gores Holdings II, Inc.","1.75","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gshtw",
"GRC","Gorman-Rupp Company (The)","31.94","$833.85M","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/grc",
"GOV","Government Properties Income Trust","18.61","$1.85B","2009","Finance","Real Estate","http://www.nasdaq.com/symbol/gov",
"GOVNI","Government Properties Income Trust","25.53","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/govni",
"GPX","GP Strategies Corporation","23.75","$398.61M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/gpx",
"GGG","Graco Inc.","45.14","$7.6B","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ggg",
"GHM","Graham Corporation","21.42","$209.25M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ghm",
"GHC","Graham Holdings Company","562.95","$3.11B","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ghc",
"GPT","Gramercy Property Trust","26.61","$4.28B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/gpt",
"GPT^A","Gramercy Property Trust Inc.","26.55","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gpt^a",
"GTE","Gran Tierra Energy Inc.","2.78","$1.08B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gte",
"GRAM","Grana y Montero S.A.A.","2.8","$369.63M","2013","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/gram",
"LOPE","Grand Canyon Education, Inc.","89.34","$4.3B","2008","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/lope",
"GVA","Granite Construction Incorporated","64","$2.55B","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/gva",
"GPMT","Granite Point Mortgage Trust Inc.","17.8","$769.58M","2017","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/gpmt",
"GRP.U","Granite Real Estate Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grp.u",
"GPK","Graphic Packaging Holding Company","15.75","$4.88B","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/gpk",
"GRVY","GRAVITY Co., Ltd.","96.98","$336.95M","2005","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/grvy",
"GTN.A","Gray Television, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gtn.a",
"GTN","Gray Television, Inc.","16.7","$1.5B","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/gtn",
"AJX","Great Ajax Corp.","13.9","$253.7M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ajx",
"AJXA","Great Ajax Corp.","25.3458","n/a","2017","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/ajxa",
"GECC","Great Elm Capital Corp.","10.02","$106.9M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gecc",
